title,genre,director,cast
Ro Gi Wan,"Drama, Romance",Kim Hee Jin,"Song Joong-ki, Kaan Abdullah, June Angela, Frédéric Clou"
Only You,"Comedy, Romance",Norman Jewison,"Marisa Tomei, Robert Downey Jr., Bonnie Hunt, Joaquim de Almeida"
Astérix & Obélix : L'empire du milieu,"Adventure, Comedy, Family",Guillaume Canet,"Guillaume Canet, Gilles Lellouche, Vincent Cassel, Jonathan Cohen"
A Walk in the Woods,"Adventure, Biography, Comedy",Ken Kwapis,"Robert Redford, Nick Nolte, Emma Thompson, Mary Steenburgen"
Jason X,"Action, Horror, Sci-Fi",James Isaac,"Kane Hodder, Lexa Doig, Jeff Geddis, David Cronenberg"
Saw VI,"Horror, Mystery, Thriller",Kevin Greutert,"Tobin Bell, Costas Mandylor, Mark Rolston, Betsy Russell"
Taxi,"Action, Comedy, Crime",Gérard Pirès,"Samy Naceri, Frédéric Diefenthal, Marion Cotillard, Manuela Gourary"
ScreamBoat,"Comedy, Horror",Steven LaMorte,
The Miracle Season,"Drama, Sport",Sean McNamara,"Helen Hunt, Erin Moriarty, William Hurt, Danika Yarosh"
El cadáver de Anna Fritz,"Drama, Thriller",Hèctor Hernández Vicens,"Alba Ribas, Cristian Valencia, Albert Carbó, Bernat Saumell"
The Exorcist III,"Drama, Horror, Mystery",William Peter Blatty,"George C. Scott, Ed Flanders, Brad Dourif, Jason Miller"
My Tutor,Comedy,George Bowers,"Matt Lattanzi, Caren Kaye, Kevin McCarthy, Clark Brandon"
Child's Play 2,"Horror, Thriller",John Lafia,"Alex Vincent, Jenny Agutter, Gerrit Graham, Christine Elise"
Bad Taste,"Comedy, Horror, Sci-Fi",Peter Jackson,"Terry Potter, Pete O'Herne, Craig Smith, Mike Minett"
The Loft,"Mystery, Romance, Thriller",Erik Van Looy,"Karl Urban, James Marsden, Wentworth Miller, Eric Stonestreet"
Sterben,Drama,Matthias Glasner,"Lars Eidinger, Corinna Harfouch, Lilith Stangenberg, Ronald Zehrfeld"
Domino,"Action, Biography, Crime",Tony Scott,"Keira Knightley, Mickey Rourke, Edgar Ramírez, Rizz Abbasi"
25th Hour,Drama,Spike Lee,"Edward Norton, Barry Pepper, Philip Seymour Hoffman, Rosario Dawson"
Race,"Biography, Drama, Sport",Stephen Hopkins,"Stephan James, Jason Sudeikis, Eli Goree, Shanice Banton"
The Greatest Story Ever Told,"Biography, Drama, History",George Stevens,"Jean Negulesco, Max von Sydow, Dorothy McGuire, Charlton Heston, Michael Anderson Jr."
Soulmeiteu,"Drama, Romance",Young-Keun Min,"Kim Da-mi, Jeon So-nee, Byeon Woo-seok, Hyun Bong-sik"
Men at Work,"Action, Comedy, Crime",Emilio Estevez,"Charlie Sheen, Emilio Estevez, Leslie Hope, Keith David"
New Jack City,"Action, Crime, Drama",Mario Van Peebles,"Wesley Snipes, Ice-T, Allen Payne, Chris Rock"
Kicking & Screaming,"Comedy, Family, Romance",Jesse Dylan,"Will Ferrell, Robert Duvall, Josh Hutcherson, Mike Ditka"
Impetigore,"Horror, Mystery, Thriller",Joko Anwar,"Tara Basro, Ario Bayu, Marissa Anita, Christine Hakim"
Prom Night,"Horror, Mystery, Thriller",Paul Lynch,"Leslie Nielsen, Jamie Lee Curtis, Casey Stevens, Anne-Marie Martin"
The Loneliness of the Long Distance Runner,"Drama, Sport",Tony Richardson,"Michael Redgrave, Tom Courtenay, Avis Bunnage, Alec McCowen"
Driving Miss Daisy,"Comedy, Drama",Bruce Beresford,"Morgan Freeman, Jessica Tandy, Dan Aykroyd, Patti LuPone"
Azrael,"Action, Horror",E.L. Katz,"Samara Weaving, Nathan Stewart-Jarrett, Vic Carmen Sonne, Peter Christoffersen"
Still Alice,Drama,Richard Glatzer,"Wash Westmoreland, Julianne Moore, Alec Baldwin, Kristen Stewart, Kate Bosworth"
Gremlins 2: The New Batch,"Comedy, Fantasy, Horror",Joe Dante,"Chuck Jones, Zach Galligan, Phoebe Cates, Howie Mandel, Tony Randall"
Beau-père,"Comedy, Drama, Romance",Bertrand Blier,"Patrick Dewaere, Ariel Besse, Maurice Ronet, Geneviève Mnich"
The Act of Killing,"Documentary, Biography, Crime",Joshua Oppenheimer,"Anonymous, Christine Cynn, Anwar Congo, Herman Koto, Syamsul Arifin, Ibrahim Sinik"
Wish Dragon,"Animation, Adventure, Comedy",Chris Appelhans,"Jimmy Wong, John Cho, Constance Wu, Natasha Liu Bordizzo"
Star Trek V: The Final Frontier,"Action, Adventure, Fantasy",William Shatner,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan"
The Ghost Writer,"Crime, Drama, Mystery",Roman Polanski,"Ewan McGregor, Pierce Brosnan, Olivia Williams, Jon Bernthal"
Volver,"Comedy, Drama",Pedro Almodóvar,"Penélope Cruz, Carmen Maura, Lola Dueñas, Blanca Portillo"
Vertical Limit,"Action, Adventure, Drama",Martin Campbell,"Scott Glenn, Chris O'Donnell, Bill Paxton, Robin Tunney"
Rise of the Guardians,"Animation, Action, Adventure",Peter Ramsey,"Hugh Jackman, Alec Baldwin, Isla Fisher, Chris Pine"
Repo! The Genetic Opera,"Horror, Musical, Sci-Fi",Darren Lynn Bousman,"Paul Sorvino, Anthony Head, Alexa PenaVega, Sarah Brightman"
Here Comes the Boom,"Action, Comedy, Sport",Frank Coraci,"Kevin James, Salma Hayek, Henry Winkler, Greg Germann"
Gräns,"Crime, Drama, Fantasy",Ali Abbasi,"Eva Melander, Eero Milonoff, Jörgen Thorsson, Ann Petrén"
Resident Evil: Extinction,"Action, Horror, Sci-Fi",Russell Mulcahy,"Milla Jovovich, Ali Larter, Oded Fehr, Iain Glen"
Finding the Money,Documentary,Maren Poitras,"Stephanie Kelton, Lua K. Yuille, Mathew Forstater, Randall Wray"
The Last Unicorn,"Animation, Adventure, Drama",Jules Bass,"Arthur Rankin Jr., Jeff Bridges, Mia Farrow, Angela Lansbury, Alan Arkin"
The Five-Year Engagement,"Comedy, Drama, Romance",Nicholas Stoller,"Jason Segel, Emily Blunt, Chris Pratt, Alison Brie"
The Killing,"Crime, Drama, Film-Noir",Stanley Kubrick,"Sterling Hayden, Coleen Gray, Vince Edwards, Jay C. Flippen"
The Survivor,"Biography, Drama, History",Barry Levinson,"Ben Foster, Billy Magnussen, Vicky Krieps, Peter Sarsgaard"
Frozen III,"Animation, Adventure, Comedy",Kristen Bell,"Jonathan Groff, Josh Gad, Idina Menzel"
To the Bone,Drama,Marti Noxon,"Rebekah Kennedy, Lily Collins, Dana L. Wilson, Ziah Colon"
Lara Croft: Tomb Raider - The Cradle of Life,"Action, Adventure, Fantasy",Jan de Bont,"Angelina Jolie, Gerard Butler, Chris Barrie, Ciarán Hinds"
The Channel,"Action, Crime, Thriller",William Kaufman,"Clayne Crawford, Max Martini, Nicoye Banks, Juliene Joyner"
Psycho,"Horror, Mystery, Thriller",Gus Van Sant,"Vince Vaughn, Anne Heche, Julianne Moore, Viggo Mortensen"
Xanadu,"Fantasy, Musical, Romance",Robert Greenwald,"Olivia Newton-John, Gene Kelly, Michael Beck, James Sloyan"
Elle,"Crime, Drama, Thriller",Paul Verhoeven,"Isabelle Huppert, Laurent Lafitte, Anne Consigny, Charles Berling"
Paws of Fury: The Legend of Hank,"Animation, Action, Adventure",Chris Bailey,"Mark Koetsier, Rob Minkoff, Michael Cera, Samuel L. Jackson, Ricky Gervais, Kylie Kuioka"
What Happens in Vegas,"Comedy, Romance",Tom Vaughan,"Cameron Diaz, Ashton Kutcher, Rob Corddry, Lake Bell"
House,"Comedy, Fantasy, Horror",Steve Miner,"William Katt, Kay Lenz, George Wendt, Richard Moll"
Even Lambs Have Teeth,"Horror, Thriller",Terry Miles,"Tiera Skovbye, Kirsten Zien, Darren Mann, Manny Jacinto"
Taking Lives,"Crime, Mystery, Thriller",D.J. Caruso,"Angelina Jolie, Ethan Hawke, Kiefer Sutherland, Gena Rowlands"
Rustin,"Biography, Drama, History",George C. Wolfe,"Colman Domingo, Chris Rock, Glynn Turman, Aml Ameen"
Nadikar,Comedy,Jean Paul Lal,"Tovino Thomas, Soubin Shahir, Althaf Salim, Sreenath Bhasi"
No Reservations,"Comedy, Drama, Romance",Scott Hicks,"Catherine Zeta-Jones, Aaron Eckhart, Abigail Breslin, Patricia Clarkson"
One Crazy Summer,"Comedy, Romance",Savage Steve Holland,"John Cusack, Demi Moore, Linda Warren, Joel Murray"
Little Big Man,"Adventure, Comedy, Drama",Arthur Penn,"Dustin Hoffman, Faye Dunaway, Chief Dan George, Martin Balsam"
Sneakers,"Comedy, Crime, Drama",Phil Alden Robinson,"Robert Redford, Dan Aykroyd, Sidney Poitier, Jo Marr"
Mob Land,"Action, Crime, Thriller",Nicholas Maggio,"Shiloh Fernandez, John Travolta, Kevin Dillon, Stephen Dorff"
The Butler,"Biography, Drama",Lee Daniels,"Forest Whitaker, Oprah Winfrey, John Cusack, Jane Fonda"
The 6th Day,"Action, Mystery, Sci-Fi",Roger Spottiswoode,"Arnold Schwarzenegger, Michael Rapaport, Tony Goldwyn, Michael Rooker"
The Electrical Life of Louis Wain,"Biography, Drama, History",Will Sharpe,"Benedict Cumberbatch, Claire Foy, Andrea Riseborough, Toby Jones"
The Hidden,"Horror, Sci-Fi, Thriller",Jack Sholder,"Kyle MacLachlan, Michael Nouri, Claudia Christian, Clarence Felder"
Broadcast News,"Comedy, Drama, Romance",James L. Brooks,"William Hurt, Albert Brooks, Holly Hunter, Robert Prosky"
The Curse of the Were-Rabbit,"Animation, Adventure, Comedy",Steve Box,"Nick Park, Peter Sallis, Helena Bonham Carter, Ralph Fiennes, Peter Kay"
His House,"Drama, Horror, Thriller",Remi Weekes,"Sope Dirisu, Wunmi Mosaku, Malaika Wakoli-Abigaba, Matt Smith"
The Lair,"Action, Horror, Sci-Fi",Neil Marshall,"Charlotte Kirk, Jonathan Howard, Jamie Bamber, Leon Ockenden"
Casualties of War,"Action, Crime, Drama",Brian De Palma,"Michael J. Fox, Sean Penn, Don Harvey, John C. Reilly"
Sergeant Rutledge,"Crime, Drama, Western",John Ford,"Jeffrey Hunter, Woody Strode, Constance Towers, Billie Burke"
Beyond the Valley of the Dolls,"Comedy, Drama, Music",Russ Meyer,"Dolly Read, Cynthia Myers, Marcia McBroom, John Lazar"
Jamón Jamón,"Comedy, Drama, Romance",Bigas Luna,"Penélope Cruz, Stefania Sandrelli, Anna Galiena, Juan Diego"
Winnie the Pooh,"Animation, Adventure, Comedy",Stephen J. Anderson,"Don Hall, Jim Cummings, Craig Ferguson, John Cleese, Bud Luckey"
Mayday,"Action, Adventure",John Francis Daley,"Jonathan Goldstein, Ryan Reynolds, Maria Bakalova, Kenneth Branagh, Clark Johnson"
Nightbreed,"Action, Fantasy, Horror",Clive Barker,"Craig Sheffer, David Cronenberg, Anne Bobby, Charles Haid"
Class of 1984,"Action, Crime, Drama",Mark L. Lester,"Perry King, Merrie Lynn Ross, Timothy Van Patten, Roddy McDowall"
Meet the Feebles,"Comedy, Fantasy, Music",Peter Jackson,"Danny Mulheron, Donna Akersten, Stuart Devenie, Mark Hadlow"
Being the Ricardos,"Biography, Drama",Aaron Sorkin,"Nicole Kidman, Javier Bardem, J.K. Simmons, Nina Arianda"
After Earth,"Action, Adventure, Sci-Fi",M. Night Shyamalan,"Jaden Smith, David Denman, Will Smith, Sophie Okonedo"
Dinner for Schmucks,Comedy,Jay Roach,"Steve Carell, Paul Rudd, Stephanie Szostak, Zach Galifianakis"
Coneheads,"Comedy, Sci-Fi",Steve Barron,"Dan Aykroyd, Jane Curtin, Robert Knott, Jonathan Penner"
The Big Wedding,"Comedy, Drama, Romance",Justin Zackham,"Robert De Niro, Diane Keaton, Katherine Heigl, Amanda Seyfried"
Last Night,"Drama, Romance",Massy Tadjedin,"Keira Knightley, Sam Worthington, Eva Mendes, Guillaume Canet"
Fritz the Cat,"Animation, Comedy, Drama",Ralph Bakshi,"Skip Hinnant, Rosetta LeNoire, John McCurry, Judy Engles"
Melissa P.,Drama,Luca Guadagnino,"María Valverde, Letizia Ciampa, Primo Reggiani, Fabrizia Sacchi"
Gretel & Hansel,"Fantasy, Horror, Mystery",Oz Perkins,"Sophia Lillis, Samuel Leakey, Alice Krige, Jessica De Gouw"
Confessions of a Dangerous Mind,"Biography, Comedy, Crime",George Clooney,"Sam Rockwell, Drew Barrymore, George Clooney, Julia Roberts"
The Beverly Hillbillies,"Comedy, Family",Penelope Spheeris,"Diedrich Bader, Erika Eleniak, Jim Varney, Cloris Leachman"
The Informer,"Action, Crime, Drama",Andrea Di Stefano,"Joel Kinnaman, Rosamund Pike, Common, Mateusz Kosciukiewicz"
Mil gritos tiene la noche,"Horror, Mystery, Thriller",Juan Piquer Simón,"Christopher George, Lynda Day George, Frank Braña, Edmund Purdom"
Honeysuckle Rose,"Drama, Music, Romance",Jerry Schatzberg,"Willie Nelson, Dyan Cannon, Amy Irving, Slim Pickens"
UHF,"Comedy, Sci-Fi",Jay Levey,"'Weird Al' Yankovic, Victoria Jackson, Kevin McCarthy, Michael Richards"
Raising Helen,"Comedy, Drama, Romance",Garry Marshall,"Kate Hudson, John Corbett, Joan Cusack, Hayden Panettiere"
L'amant double,"Drama, Romance, Thriller",François Ozon,"Marine Vacth, Jérémie Renier, Jacqueline Bisset, Myriam Boyer"
Murder Company,"Action, War",Shane Dax Taylor,"Kelsey Grammer, William Moseley, Joe Anderson, Gilles Marini"
Horns,"Comedy, Fantasy, Horror",Alexandre Aja,"Daniel Radcliffe, Juno Temple, Max Minghella, Joe Anderson"
The Room,"Drama, Fantasy, Horror",Christian Volckman,"Olga Kurylenko, Kevin Janssens, Joshua Wilson, John Flanders"
Weekend,"Drama, Romance",Andrew Haigh,"Tom Cullen, Chris New, Jonathan Race, Laura Freeman"
Hard Miles,"Drama, Sport",R.J. Daniel Hanna,"Sean Astin, Matthew Modine, Jackson Kelly, Leslie David Baker"
Bugsy Malone,"Comedy, Crime, Family",Alan Parker,"Jodie Foster, Scott Baio, Florence Garland, John Cassisi"
Next Friday,Comedy,Steve Carr,"Ice Cube, Mike Epps, Justin Pierce, John Witherspoon"
Rosaline,"Comedy, Romance",Karen Maine,"Kaitlyn Dever, Isabela Merced, Sean Teale, Kyle Allen"
Bottle Shock,"Comedy, Drama",Randall Miller,"Chris Pine, Alan Rickman, Bill Pullman, Dennis Farina"
The Campaign,Comedy,Jay Roach,"Will Ferrell, Zach Galifianakis, Jason Sudeikis, Dylan McDermott"
Ajeossi,"Action, Crime, Drama",Lee Jeong-beom,"Won Bin, Kim Sae-ron, Kim Tae-hoon, Kim Hee-won"
Child's Play,"Drama, Horror, Sci-Fi",Lars Klevberg,"Tim Matheson, Ben Daon, Zahra Anderson, Serge Jaswal"
The Howling,Horror,Joe Dante,"Dee Wallace, Patrick Macnee, Dennis Dugan, Christopher Stone"
The Greatest Game Ever Played,"Biography, Drama, Sport",Bill Paxton,"Shia LaBeouf, Stephen Dillane, Elias Koteas, James Paxton"
Something Wicked This Way Comes,"Fantasy, Mystery, Thriller",Jack Clayton,"Mary Grace Canfield, Richard Davalos, Jake Dengel, Jack Dodson"
The People Under the Stairs,"Comedy, Horror, Mystery",Wes Craven,"Brandon Quintin Adams, Everett McGill, Wendy Robie, A.J. Langer"
First Reformed,"Drama, Mystery, Thriller",Paul Schrader,"Ethan Hawke, Amanda Seyfried, Cedric The Entertainer, Victoria Hill"
Les chambres rouges,"Crime, Horror, Mystery",Pascal Plante,"Juliette Gariépy, Laurie Babin, Elisabeth Locas, Maxwell McCabe-Lokos"
Tall Girl,"Comedy, Drama, Family",Nzingha Stewart,"Ava Michelle, Griffin Gluck, Sabrina Carpenter, Paris Berelc"
The Forest Hills,"Drama, Horror, Thriller",Scott Goldberg,"Edward Furlong, Dee Wallace, Shelley Duvall, Felissa Rose"
Rio Grande,"Drama, Romance, Western",John Ford,"John Wayne, Maureen O'Hara, Ben Johnson, Claude Jarman Jr."
From Paris with Love,"Action, Crime, Thriller",Pierre Morel,"John Travolta, Jonathan Rhys Meyers, Kasia Smutniak, Richard Durden"
Unfriended,"Horror, Mystery, Thriller",Levan Gabriadze,"Heather Sossaman, Matthew Bohrer, Courtney Halverson, Shelley Hennig"
Le locataire,"Drama, Thriller",Roman Polanski,"Roman Polanski, Isabelle Adjani, Melvyn Douglas, Jo Van Fleet"
Henry & June,"Biography, Drama",Philip Kaufman,"Fred Ward, Uma Thurman, Maria de Medeiros, Richard E. Grant"
Peacock,"Drama, Mystery, Thriller",Michael Lander,"Cillian Murphy, Elliot Page, Susan Sarandon, Josh Lucas"
Spectral,"Action, Adventure, Sci-Fi",Nic Mathieu,"James Badge Dale, Emily Mortimer, Bruce Greenwood, Max Martini"
Fandango,"Comedy, Drama",Kevin Reynolds,"Kevin Costner, Judd Nelson, Sam Robards, Chuck Bush"
Professor Marston and the Wonder Women,"Biography, Drama, History",Angela Robinson,"Luke Evans, Rebecca Hall, Bella Heathcote, Connie Britton"
One Eight Seven,"Drama, Thriller",Kevin Reynolds,"Samuel L. Jackson, John Heard, Kelly Rowan, Clifton Collins Jr."
"Don't Worry, He Won't Get Far on Foot","Biography, Comedy, Drama",Gus Van Sant,"Joaquin Phoenix, Jonah Hill, Rooney Mara, Jack Black"
Hoard,Drama,Luna Carmoon,"Tim Bowie, James Cooper, Ceara Coveney, Sarah Rose Denton"
Till,"Biography, Crime, Drama",Chinonye Chukwu,"Danielle Deadwyler, Jalyn Hall, Frankie Faison, Haley Bennett"
Vampire humaniste cherche suicidaire consentant,"Comedy, Drama, Fantasy",Ariane Louis-Seize,"Sara Montpetit, Félix-Antoine Bénard, Steve Laplante, Sophie Cadieux"
Black Knight,"Adventure, Comedy, Fantasy",Gil Junger,"Martin Lawrence, Marsha Thomason, Tom Wilkinson, Vincent Regan"
K-PAX,"Drama, Mystery, Sci-Fi",Iain Softley,"Kevin Spacey, Jeff Bridges, Mary McCormack, Alfre Woodard"
Amelia's Children,"Horror, Thriller",Gabriel Abrantes,"Brigette Lundy-Paine, Carloto Cotta, Anabela Moreira, Alba Baptista"
Don't Say a Word,"Drama, Mystery, Thriller",Gary Fleder,"Michael Douglas, Sean Bean, Brittany Murphy, Skye McCole Bartusiak"
The Treasure of the Sierra Madre,"Adventure, Drama, Western",John Huston,"Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett"
Kalki 2898-AD,"Action, Adventure, Drama",Nag Ashwin,"Prabhas, Amitabh Bachchan, Kamal Haasan, Deepika Padukone"
The Bounty Hunter,"Action, Comedy, Romance",Andy Tennant,"Jennifer Aniston, Gerard Butler, Gio Perez, Joel Marsh Garland"
El Topo,"Drama, Western",Alejandro Jodorowsky,"Alejandro Jodorowsky, Brontis Jodorowsky, José Legarreta, Alfonso Arau"
The Horse Soldiers,"Adventure, Drama, Romance",John Ford,"John Wayne, William Holden, Constance Towers, Judson Pratt"
Life in a Year,"Drama, Romance",Mitja Okorn,"Jaden Smith, Cara Delevingne, Cuba Gooding Jr., Chris D'Elia"
Broken Arrow,"Drama, Romance, Western",Delmer Daves,"James Stewart, Jeff Chandler, Debra Paget, Basil Ruysdael"
The Cave,"Adventure, Horror, Sci-Fi",Bruce Hunt,"Piper Perabo, Morris Chestnut, Cole Hauser, Eddie Cibrian"
Ghost Dog: The Way of the Samurai,"Crime, Drama",Jim Jarmusch,"Forest Whitaker, Henry Silva, John Tormey, Cliff Gorman"
28 Days,"Comedy, Drama",Betty Thomas,"Sandra Bullock, Viggo Mortensen, Dominic West, Elizabeth Perkins"
Johnny Dangerously,"Comedy, Crime",Amy Heckerling,"Michael Keaton, Joe Piscopo, Marilu Henner, Maureen Stapleton"
Mindcage,"Crime, Drama, Mystery",Mauro Borrelli,"Elisha Bascomb, Alba Borrelli, Nikola Chupin, Barry Clifton"
Highlander II: The Quickening,"Action, Adventure, Fantasy",Russell Mulcahy,"Christopher Lambert, Sean Connery, Virginia Madsen, Michael Ironside"
Veronica Mars,"Crime, Drama, Mystery",Rob Thomas,"Kristen Bell, Jason Dohring, Enrico Colantoni, Christopher Lowell"
Iron Sky,"Action, Adventure, Comedy",Timo Vuorensola,"Julia Dietze, Christopher Kirby, Götz Otto, Udo Kier"
Failure to Launch,"Comedy, Romance",Tom Dey,"Matthew McConaughey, Sarah Jessica Parker, Kathy Bates, Terry Bradshaw"
Sing si lip yan,"Action, Comedy, Crime",Jing Wong,"Jackie Chan, Richard Norton, Joey Wang, Kumiko Goto"
Spread,"Comedy, Drama, Romance",David Mackenzie,"Ashton Kutcher, Anne Heche, Margarita Levieva, Sebastian Stan"
Dinner in America,"Comedy, Drama, Music",Adam Rehmeier,"Kyle Gallner, Yancey Fuqua, Jennifer Kincer, Hannah Marks"
De Oost,"Drama, Thriller, War",Jim Taihuttu,"Martijn Lakemeier, Marwan Kenzari, Jonas Smulders, Abel van Gijlswijk"
Takers,"Action, Crime, Drama",John Luessenhop,"Chris Brown, Hayden Christensen, Matt Dillon, Michael Ealy"
We Have Always Lived in the Castle,"Drama, Horror, Mystery",Stacie Passon,"Taissa Farmiga, Alexandra Daddario, Crispin Glover, Sebastian Stan"
Hidalgo,"Action, Adventure, Biography",Joe Johnston,"Viggo Mortensen, Omar Sharif, Zuleikha Robinson, Louise Lombard"
Tian jiang xiong shi,"Action, Drama, Fantasy",Daniel Lee,"Jackie Chan, John Cusack, Adrien Brody, Choi Siwon"
Dreamgirls,"Drama, Music, Musical",Bill Condon,"Beyoncé, Jamie Foxx, Eddie Murphy, Danny Glover"
The Great Mouse Detective,"Animation, Adventure, Family",Ron Clements,"Burny Mattinson, Dave Michener, John Musker, Vincent Price, Barrie Ingham, Val Bettin, Susanne Pollatschek"
Beyond the Black Rainbow,"Horror, Mystery, Sci-Fi",Panos Cosmatos,"Eva Bourne, Michael J Rogers, Scott Hylands, Rondel Reynoldson"
Behind the Candelabra,"Biography, Drama, Music",Steven Soderbergh,"Michael Douglas, Matt Damon, Scott Bakula, Eric Zuckerman"
I Know Who Killed Me,"Horror, Mystery, Thriller",Chris Sivertson,"Lindsay Lohan, Julia Ormond, Neal McDonough, Bonnie Aarons"
Crush,"Comedy, Romance",Sammi Cohen,"Rowan Blanchard, Auli'i Cravalho, Isabella Ferreira, Tyler Alvarez"
Clean,"Action, Crime, Drama",Paul Solet,"Adrien Brody, Glenn Fleshler, Richie Merritt, Chandler DuPont"
Compliance,"Crime, Drama, History",Craig Zobel,"Ann Dowd, Dreama Walker, Pat Healy, Bill Camp"
The Shadow,"Action, Adventure, Crime",Russell Mulcahy,"Alec Baldwin, John Lone, Penelope Ann Miller, Peter Boyle"
The Texas Chainsaw Massacre: The Beginning,Horror,Jonathan Liebesman,"Jordana Brewster, Matt Bomer, Diora Baird, Taylor Handley"
De rouille et d'os,"Drama, Romance",Jacques Audiard,"Marion Cotillard, Matthias Schoenaerts, Armand Verdure, Céline Sallette"
Sphere,"Action, Mystery, Sci-Fi",Barry Levinson,"Dustin Hoffman, Sharon Stone, Samuel L. Jackson, Peter Coyote"
Big Eyes,"Biography, Crime, Drama",Tim Burton,"Amy Adams, Christoph Waltz, Danny Huston, Krysten Ritter"
Submarine,"Comedy, Drama, Romance",Richard Ayoade,"Craig Roberts, Sally Hawkins, Paddy Considine, Noah Taylor"
The Music Man,"Comedy, Family, Musical",Morton DaCosta,"Robert Preston, Shirley Jones, Buddy Hackett, Hermione Gingold"
Femme Fatale,"Crime, Drama, Mystery",Brian De Palma,"Rebecca Romijn, Antonio Banderas, Peter Coyote, Eriq Ebouaney"
The Natural,"Drama, Sport",Barry Levinson,"Robert Redford, Robert Duvall, Glenn Close, Kim Basinger"
Emmanuelle,"Drama, Romance",Just Jaeckin,"Sylvia Kristel, Alain Cuny, Marika Green, Daniel Sarky"
The Alamo,"Adventure, Drama, History",John Wayne,"John Wayne, Richard Widmark, Laurence Harvey, Frankie Avalon"
Boudica,"Action, Drama, History",Jesse V. Johnson,"Olga Kurylenko, Tim Barber, Andy Beckwith, Tom Bennett"
One True Loves,"Comedy, Drama, Romance",Andy Fickman,"Phillipa Soo, Simu Liu, Luke Bracey, Michaela Conlin"
Ballerina,"Animation, Adventure, Comedy",Eric Summer,"Éric Warin, Elle Fanning, Dane DeHaan, Carly Rae Jepsen, Maddie Ziegler"
Santa Sangre,"Drama, Horror, Thriller",Alejandro Jodorowsky,"Axel Jodorowsky, Blanca Guerra, Guy Stockwell, Thelma Tixou"
The Tax Collector,"Action, Crime, Drama",David Ayer,"Bobby Soto, Cinthya Carmona, Shia LaBeouf, Jose Conejo Martin"
Mr. Jones,"Biography, Drama, Thriller",Agnieszka Holland,"James Norton, Vanessa Kirby, Peter Sarsgaard, Joseph Mawle"
Shirley,"Biography, Drama, Mystery",Josephine Decker,"Elisabeth Moss, Odessa Young, Michael Stuhlbarg, Logan Lerman"
The Thin Blue Line,"Documentary, Crime",Errol Morris,"Randall Adams, David Harris, Gus Rose, Jackie Johnson"
Kurenai no buta,"Animation, Adventure, Comedy",Hayao Miyazaki,"Shûichirô Moriyama, Tokiko Katô, Bunshi Katsura VI, Tsunehiko Kamijô"
Bliss,"Drama, Romance, Sci-Fi",Mike Cahill,"Owen Wilson, Salma Hayek, Nesta Cooper, Jorge Lendeborg Jr."
Ball of Fire,"Comedy, Romance",Howard Hawks,"Gary Cooper, Barbara Stanwyck, Oscar Homolka, Henry Travers"
A Wrinkle in Time,"Adventure, Drama, Family",Ava DuVernay,"Storm Reid, Oprah Winfrey, Reese Witherspoon, Mindy Kaling"
Kung Fury: The Movie,"Action, Comedy, Crime",David Sandberg,"Arnold Schwarzenegger, Alexandra Shipp, Michael Fassbender, David Hasselhoff"
Tetro,Drama,Francis Ford Coppola,"Vincent Gallo, Alden Ehrenreich, Maribel Verdú, Silvia Pérez"
Hong hai xing dong,"Action, Drama, Thriller",Dante Lam,"Yi Zhang, Johnny Huang, Hai-Qing, Jiang Du"
Snitch,"Action, Drama, Thriller",Ric Roman Waugh,"Dwayne Johnson, Susan Sarandon, Jon Bernthal, Rafi Gavron"
Supercell,"Action, Adventure, Drama",Herbert James Winterstern,"Skeet Ulrich, Anne Heche, Daniel Diemer, Jordan Kristine Seamón"
Mudbound,"Drama, War",Dee Rees,"Jason Mitchell, Carey Mulligan, Jason Clarke, Mary J. Blige"
Shingeki no kyojin,"Action, Adventure, Drama",Shinji Higuchi,"Haruma Miura, Kiko Mizuhara, Kanata Hongô, Satomi Ishihara"
Clerks II,Comedy,Kevin Smith,"Brian O'Halloran, Jeff Anderson, Rosario Dawson, Jason Mewes"
Runaway,"Action, Crime, Sci-Fi",Michael Crichton,"Tom Selleck, Cynthia Rhodes, Gene Simmons, Kirstie Alley"
"The Wager: A Tale of Shipwreck, Mutiny, and Murder",,Martin Scorsese,Leonardo DiCaprio
Live Nude Girls,Comedy,Julianna Lavin,"Dana Delany, Kim Cattrall, Cynthia Stevenson, Laila Robins"
The Ambushers,"Action, Comedy, Sci-Fi",Henry Levin,"Dean Martin, Senta Berger, Janice Rule, James Gregory"
Youth in Revolt,"Comedy, Drama, Romance",Miguel Arteta,"Michael Cera, Portia Doubleday, Jean Smart, Zach Galifianakis"
Omoide no Marnie,"Animation, Drama, Family",Hiromasa Yonebayashi,"Sara Takatsuki, Kasumi Arimura, Nanako Matsushima, Susumu Terajima"
Spy Kids: Armageddon,"Action, Comedy, Family",Robert Rodriguez,"Connor Esterson, Everly Carganilla, Zachary Levi, Gina Rodriguez"
Saw V,"Horror, Thriller",David Hackl,"Scott Patterson, Costas Mandylor, Tobin Bell, Betsy Russell"
Catch and Release,"Comedy, Drama, Romance",Susannah Grant,"Jennifer Garner, Timothy Olyphant, Kevin Smith, Sam Jaeger"
G.I. Jane,"Action, Drama, War",Ridley Scott,"Demi Moore, Viggo Mortensen, Anne Bancroft, Jason Beghe"
